Status,Due.Date,Contract.Type,Quantity,Size,Shape,Base.Cost,Color,Sales.Price,Market,Plant,Market.Price,Quote.Key
won,3/8/17,Variable Short,397,medium,round,183.61,red,282.0991332,Automotive,Indiana,220.85,Quote32
won,3/8/17,Variable Short,2014,medium,round,183.61,red,232.4708795,Automotive,Ohio,220.85,Quote33
won,3/8/17,Variable Short,2085,medium,round,183.61,red,232.4708795,Automotive,Ohio,220.85,Quote34
won,3/31/17,Fixed Medium,1,medium,round,218.05,red,299.6,Construction,Indiana,231,Quote35
won,3/31/17,Fixed Medium,1,medium,round,234.5,red,315.63,Construction,Illinois,231,Quote36
won,6/2/17,Variable Medium,100,large,round,201.95,red,245,Furniture,Indiana,202.65,Quote37
won,6/2/17,Variable Medium,80,medium,round,201.95,red,245,Furniture,Indiana,202.65,Quote38
won,6/2/17,Variable Medium,80,large,round,201.95,red,245,Furniture,Indiana,202.65,Quote39
won,6/2/17,Variable Medium,32,medium,round,201.95,red,245,Furniture,Indiana,202.65,Quote40
won,6/2/17,Variable Medium,48,large,round,201.95,red,245,Agriculture,Indiana,202.65,Quote41
won,6/2/17,Variable Medium,32,medium,round,201.95,red,245,Agriculture,Indiana,202.65,Quote42
won,6/2/17,Variable Medium,16,large,round,201.95,red,257.25,Agriculture,Indiana,202.65,Quote43
won,6/2/17,Variable Medium,40,large,round,201.95,red,245,Furniture,Indiana,202.65,Quote44
won,6/2/17,Variable Medium,16,large,round,201.95,red,257.25,Furniture,Indiana,202.65,Quote45
won,6/2/17,Variable Medium,16,large,round,201.95,red,245,Agriculture,Indiana,202.65,Quote46
won,6/2/17,Variable Medium,32,large,round,201.95,red,248.5,Agriculture,Indiana,202.65,Quote47
won,6/2/17,Variable Medium,32,large,round,201.95,red,257.25,Agriculture,Indiana,202.65,Quote48
won,6/2/17,Variable Medium,16,medium,round,201.95,red,257.25,Furniture,Indiana,202.65,Quote49
won,6/2/17,Variable Medium,32,medium,round,201.95,red,267.75,Furniture,Indiana,202.65,Quote50
won,6/2/17,Variable Medium,16,large,round,201.95,red,257.25,Agriculture,Indiana,202.65,Quote51
won,6/13/17,Variable Long,34,medium,round,217,red,311.15,Construction,Illinois,201.95,Quote52
won,6/13/17,Variable Long,7,large,round,217,red,292.95,Construction,Illinois,201.95,Quote53
lost,7/20/16,Fixed Long,82,large,round,207.2,red,289.1,Automotive,Ohio,216.65,Quote54
won,6/9/17,Variable Medium,36,medium,round,217,red,293.3,Agriculture,Ohio,201.95,Quote55
won,6/9/17,Variable Medium,9,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote56
won,6/9/17,Variable Medium,81,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote57
won,6/9/17,Variable Medium,54,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote58
won,6/9/17,Variable Medium,72,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote59
won,6/9/17,Variable Medium,90,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote60
won,6/9/17,Variable Medium,72,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote61
won,6/9/17,Variable Medium,261,large,round,217,red,293.3,Agriculture,Ohio,201.95,Quote62
won,6/9/17,Variable Medium,135,large,round,217,red,293.3,Agriculture,Illinois,201.95,Quote63
won,6/9/17,Variable Medium,36,large,round,217,red,293.3,Agriculture,Illinois,201.95,Quote64
lost,6/7/17,Index Long,24,medium,round,208.6,red,248.15,Construction,Indiana,202.65,Quote65
lost,6/7/17,Index Long,24,medium,round,208.6,red,248.15,Construction,Indiana,202.65,Quote66
lost,6/7/17,Index Long,24,medium,round,208.6,red,248.15,Construction,Indiana,202.65,Quote67
lost,6/7/17,Index Long,44,medium,round,208.6,red,248.15,Construction,Indiana,202.65,Quote68
lost,6/7/17,Index Long,32,medium,round,208.6,red,262.15,Construction,Indiana,202.65,Quote69
lost,6/7/17,Index Long,224,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote70
lost,6/7/17,Index Long,52,medium,round,208.6,red,265.65,Construction,Indiana,202.65,Quote71
lost,6/7/17,Index Long,36,medium,round,208.6,red,244.65,Construction,Indiana,202.65,Quote72
lost,6/7/17,Index Long,32,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote73
lost,6/7/17,Index Long,136,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote74
lost,6/7/17,Index Long,88,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote75
lost,6/7/17,Index Long,32,large,round,208.6,red,262.15,Construction,Indiana,202.65,Quote76
lost,6/7/17,Index Long,44,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote77
lost,6/7/17,Index Long,64,large,round,208.6,red,258.65,Construction,Indiana,202.65,Quote78
lost,6/7/17,Index Long,152,large,round,208.6,red,244.65,Construction,Indiana,202.65,Quote79
lost,6/7/17,Index Long,52,large,round,208.6,red,253.4,Construction,Indiana,202.65,Quote80
lost,6/7/17,Index Long,32,medium,round,208.6,red,270.9,Construction,Indiana,202.65,Quote81
lost,6/7/17,Index Long,52,large,round,208.6,red,267.4,Construction,Indiana,202.65,Quote82
lost,6/7/17,Index Long,24,large,round,208.6,red,284.9,Construction,Indiana,202.65,Quote83
lost,6/7/17,Index Long,144,large,round,208.6,red,284.9,Construction,Indiana,202.65,Quote84
lost,3/17/17,Fixed Long,111,large,round,185.15,red,218.05,Automotive,Ohio,228.55,Quote85
lost,3/17/17,Fixed Long,113,large,round,185.15,red,218.05,Automotive,Ohio,228.55,Quote86
lost,3/17/17,Fixed Long,137,large,round,185.15,red,246.05,Automotive,Ohio,228.55,Quote87
lost,3/17/17,Fixed Long,137,large,round,185.15,red,246.05,Automotive,Ohio,228.55,Quote88
lost,3/17/17,Fixed Long,66,medium,round,185.15,red,225.75,Automotive,Ohio,228.55,Quote89
lost,3/17/17,Fixed Long,8,medium,round,185.15,red,289.24,Automotive,Ohio,228.55,Quote90
lost,3/17/17,Fixed Long,20,medium,round,185.15,red,289.24,Automotive,Ohio,228.55,Quote91
lost,3/17/17,Fixed Long,22,large,round,185.15,red,233.59,Automotive,Ohio,228.55,Quote92
lost,3/17/17,Fixed Long,20,large,round,185.15,red,233.59,Automotive,Ohio,228.55,Quote93
lost,3/17/17,Fixed Long,28,large,round,185.15,red,233.59,Automotive,Ohio,228.55,Quote94
lost,3/17/17,Fixed Long,15,large,round,185.15,red,272.44,Automotive,Ohio,228.55,Quote95
lost,3/17/17,Fixed Long,15,large,round,185.15,red,233.59,Automotive,Ohio,228.55,Quote96
won,5/24/17,Fixed Medium,10,large,round,182,red,249.55,Construction,Illinois,211.75,Quote97
won,5/24/17,Fixed Medium,17,large,round,182,red,249.55,Construction,Illinois,211.75,Quote98
won,5/24/17,Fixed Medium,34,large,round,182,red,249.55,Construction,Illinois,211.75,Quote99
won,5/24/17,Fixed Medium,44,medium,round,182,red,251.3,Construction,Illinois,211.75,Quote100
won,5/24/17,Fixed Medium,60,medium,round,182,red,251.3,Construction,Illinois,211.75,Quote101
won,5/24/17,Fixed Medium,14,medium,round,182,red,251.3,Construction,Illinois,211.75,Quote102
lost,4/21/17,Variable Medium,180,large,round,231,red,360.5,Automotive,Ohio,220.15,Quote103
lost,5/25/17,Variable Long,100,medium,round,208.25,red,243.6,Construction,New York,204.4,Quote104
lost,5/15/17,Fixed Long,780,large,round,218.05,red,264.6,Construction,Ohio,212.45,Quote105
lost,5/15/17,Fixed Long,16,large,round,218.05,red,287,Construction,Ohio,212.45,Quote106
lost,5/15/17,Fixed Long,320,large,round,218.05,red,264.6,Construction,Ohio,212.45,Quote107
lost,5/15/17,Fixed Long,559,large,round,218.05,red,287,Construction,Ohio,212.45,Quote108
lost,5/15/17,Fixed Long,1346,large,round,218.05,red,287,Construction,Ohio,212.45,Quote109
lost,5/15/17,Fixed Long,18,large,round,218.05,red,264.6,Construction,Ohio,212.45,Quote110
lost,5/15/17,Fixed Long,64,large,round,218.05,red,264.6,Construction,Ohio,212.45,Quote111
lost,5/15/17,Fixed Long,136,large,round,218.05,red,287,Construction,Ohio,212.45,Quote112
lost,5/15/17,Fixed Long,682,large,round,218.05,red,287,Construction,Ohio,212.45,Quote113
lost,5/15/17,Fixed Long,171,large,round,218.05,red,287,Construction,Ohio,212.45,Quote114
lost,5/15/17,Fixed Long,371,large,round,218.05,red,287,Construction,Ohio,212.45,Quote115
lost,5/15/17,Fixed Long,1247,large,round,218.05,red,287,Construction,Ohio,212.45,Quote116
lost,5/15/17,Fixed Long,2052,large,round,218.05,red,287,Construction,Ohio,212.45,Quote117
lost,5/15/17,Fixed Long,1530,large,round,218.05,red,287,Construction,Indiana,212.45,Quote118
lost,5/15/17,Fixed Long,300,large,round,218.05,red,287,Construction,Ohio,212.45,Quote119
lost,5/15/17,Fixed Long,1310,large,round,218.05,red,287,Construction,Ohio,212.45,Quote120
lost,5/15/17,Fixed Long,1500,large,round,218.05,red,287,Construction,Ohio,212.45,Quote121
lost,5/15/17,Fixed Long,50,large,round,218.05,red,287,Construction,Ohio,212.45,Quote122
lost,12/7/17,Fixed Long,36,large,round,213.15,red,263.55,Furniture,Illinois,218.75,Quote123
won,6/9/17,Index Long,336,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote124
won,6/9/17,Index Long,128,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote125
won,6/9/17,Index Long,96,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote126
won,6/9/17,Index Long,144,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote127
won,6/9/17,Index Long,224,large,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote128
won,6/9/17,Index Long,15,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote129
won,6/9/17,Index Long,45,large,round,214.55,red,302.33,Agriculture,Indiana,201.95,Quote130
won,6/9/17,Index Long,180,large,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote131
won,6/9/17,Index Long,70,large,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote132
won,6/9/17,Index Long,320,large,round,214.55,red,302.33,Agriculture,Indiana,201.95,Quote133
won,6/9/17,Index Long,144,large,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote134
won,6/9/17,Index Long,10,medium,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote135
won,6/9/17,Index Long,120,large,round,214.55,red,274.33,Agriculture,Indiana,201.95,Quote136
won,6/9/17,Index Long,10,large,round,214.55,red,274.33,Automotive,Indiana,201.95,Quote137
won,10/21/16,Variable Long,90,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote138
won,10/21/16,Variable Long,27,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote139
won,10/21/16,Variable Long,81,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote140
won,10/21/16,Variable Long,72,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote141
won,10/21/16,Variable Long,99,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote142
won,10/21/16,Variable Long,288,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote143
won,10/21/16,Variable Long,108,large,round,187.25,red,260.4,Agriculture,Illinois,165.55,Quote144
won,10/21/16,Variable Long,81,large,round,187.25,red,260.4,Agriculture,Illinois,165.55,Quote145
won,10/21/16,Variable Long,20,medium,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote146
won,10/21/16,Variable Long,9,large,round,187.25,red,260.4,Agriculture,Ohio,165.55,Quote147
won,6/6/17,Variable Long,100,large,round,211.75,red,268.1,Construction,Ohio,202.65,Quote148
lost,12/7/17,Fixed Long,71,large,round,213.15,red,263.55,Furniture,Illinois,218.75,Quote149
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote150
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote151
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote152
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote153
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote154
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote155
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote156
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote157
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote158
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote159
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote160
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote161
won,5/30/17,Variable Long,26,large,round,208.25,red,279.65,Agriculture,Indiana,204.4,Quote162
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote163
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote164
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote165
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote166
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote167
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote168
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote169
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote170
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote171
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote172
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote173
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote174
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote175
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote176
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote177
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote178
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote179
won,5/30/17,Variable Long,26,large,round,208.25,red,287,Agriculture,Ohio,204.4,Quote180
won,6/1/17,Variable Medium,26,large,round,204.75,red,238.35,Construction,Ohio,202.65,Quote181
won,6/1/17,Variable Medium,18,large,round,204.75,red,238.35,Construction,Ohio,202.65,Quote182
won,5/19/17,Variable Medium,24,large,round,208.25,red,290.15,Automotive,Ohio,211.75,Quote183
won,5/19/17,Variable Medium,18,large,round,208.25,red,276.5,Automotive,Ohio,211.75,Quote184
won,5/17/17,Variable Long,9,medium,round,206.5,red,246.4,Manufacturing,Indiana,212.45,Quote185
won,5/17/17,Variable Long,9,medium,round,206.5,red,246.4,Manufacturing,Indiana,212.45,Quote186
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote187
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote188
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote189
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote190
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote191
won,5/17/17,Variable Long,8,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote192
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote193
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote194
won,5/17/17,Variable Long,10,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote195
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote196
won,5/17/17,Variable Long,9,large,round,206.5,red,246.4,Manufacturing,Indiana,212.45,Quote197
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote198
won,5/17/17,Variable Long,18,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote199
won,5/17/17,Variable Long,2,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote200
won,5/17/17,Variable Long,8,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote201
won,5/17/17,Variable Long,3,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote202
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote203
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote204
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote205
won,5/17/17,Variable Long,3,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote206
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote207
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote208
won,5/17/17,Variable Long,2,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote209
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote210
won,5/17/17,Variable Long,3,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote211
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote212
won,5/17/17,Variable Long,6,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote213
won,5/17/17,Variable Long,2,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote214
won,5/17/17,Variable Long,18,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote215
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote216
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote217
won,5/17/17,Variable Long,2,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote218
won,5/17/17,Variable Long,5,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote219
won,5/17/17,Variable Long,27,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote220
won,5/17/17,Variable Long,18,large,round,206.5,red,255.15,Manufacturing,Indiana,212.45,Quote221
won,5/17/17,Variable Long,3,large,round,206.5,red,255.15,Agriculture,Indiana,212.45,Quote222
won,5/17/17,Variable Long,10,large,round,206.5,red,255.15,Manufacturing,Indiana,212.45,Quote223
won,5/17/17,Variable Long,2,large,round,206.5,red,255.15,Manufacturing,Indiana,212.45,Quote224
won,5/17/17,Variable Long,12,large,round,206.5,red,255.15,Manufacturing,Indiana,212.45,Quote225
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote226
won,5/17/17,Variable Long,1,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote227
won,5/17/17,Variable Long,18,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote228
won,5/17/17,Variable Long,36,large,round,206.5,red,244.65,Agriculture,Indiana,212.45,Quote229
won,5/17/17,Variable Long,45,large,round,206.5,red,244.65,Manufacturing,Indiana,212.45,Quote230
won,5/17/17,Variable Long,4,large,round,206.5,red,263.9,Manufacturing,Indiana,212.45,Quote231
won,5/17/17,Variable Long,8,large,round,206.5,red,263.9,Manufacturing,Indiana,212.45,Quote232
won,5/17/17,Variable Long,9,large,round,206.5,red,253.4,Manufacturing,Indiana,212.45,Quote233
won,5/17/17,Variable Long,8,large,round,206.5,red,272.65,Manufacturing,Indiana,212.45,Quote234
won,5/17/17,Variable Long,10,large,round,206.5,red,272.65,Manufacturing,Indiana,212.45,Quote235
lost,9/23/16,Variable Long,3000,large,round,178.85,red,223.3,Automotive,Illinois,180.95,Quote236
lost,9/23/16,Variable Long,1800,large,round,178.85,red,223.3,Automotive,Illinois,180.95,Quote237
lost,9/23/16,Variable Long,2000,large,round,178.85,red,219.8,Automotive,Illinois,180.95,Quote238
won,12/16/16,Variable Medium,32,large,round,182.35,red,279.65,Construction,New York,208.95,Quote239
lost,3/14/17,Fixed Long,34,large,round,185.15,red,231.77,Automotive,Ohio,222.25,Quote240
won,3/8/17,Fixed Long,16,medium,round,217.91,red,352.17,Agriculture,Indiana,220.85,Quote241
won,3/8/17,Fixed Long,28,large,round,217.91,red,352.17,Agriculture,Indiana,220.85,Quote242
won,3/8/17,Fixed Long,120,large,round,217.91,red,352.17,Agriculture,Indiana,220.85,Quote243
won,3/8/17,Fixed Long,120,large,round,217.91,red,336.91,Agriculture,Indiana,220.85,Quote244
won,3/17/17,Variable Long,13,medium,round,219.8,red,279.65,Construction,Indiana,228.55,Quote245
won,3/17/17,Variable Long,2,medium,round,219.8,red,281.4,Construction,Indiana,228.55,Quote246
won,3/17/17,Variable Long,13,medium,round,219.8,red,279.65,Construction,Indiana,228.55,Quote247
won,3/17/17,Variable Long,8,medium,round,219.8,red,279.65,Construction,Indiana,228.55,Quote248
won,3/17/17,Variable Long,30,medium,round,219.8,red,288.05,Construction,Indiana,228.55,Quote249
won,3/17/17,Variable Long,4,medium,round,219.8,red,288.05,Construction,Indiana,228.55,Quote250
won,3/17/17,Variable Long,3,medium,round,219.8,red,288.05,Construction,Indiana,228.55,Quote251
won,3/17/17,Variable Long,7,medium,round,219.8,red,288.05,Construction,Indiana,228.55,Quote252
won,3/17/17,Variable Long,45,medium,round,219.8,red,284.55,Construction,Indiana,228.55,Quote253
won,3/17/17,Variable Long,23,large,round,219.8,red,275.45,Construction,Indiana,228.55,Quote254
won,3/17/17,Variable Long,133,large,round,219.8,red,287.7,Construction,Indiana,228.55,Quote255
won,3/17/17,Variable Long,14,large,round,219.8,red,287.7,Construction,Indiana,228.55,Quote256
won,3/17/17,Variable Long,1,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote257
won,3/17/17,Variable Long,28,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote258
won,3/17/17,Variable Long,4,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote259
won,3/17/17,Variable Long,12,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote260
won,3/17/17,Variable Long,22,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote261
won,3/17/17,Variable Long,15,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote262
won,3/17/17,Variable Long,22,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote263
won,3/17/17,Variable Long,7,large,round,219.8,red,261.8,Construction,Indiana,228.55,Quote264
won,3/17/17,Variable Long,2,large,round,219.8,red,263.55,Construction,Indiana,228.55,Quote265
won,3/6/17,Variable Medium,36,large,round,217.91,red,318.5,Automotive,Michigan,220.85,Quote266
won,3/6/17,Variable Medium,36,large,round,217.91,red,318.5,Automotive,Michigan,220.85,Quote267
won,5/22/17,Variable Long,46,large,round,213.5,red,261.8,Agriculture,Indiana,211.75,Quote268
won,5/22/17,Variable Long,46,large,round,213.5,red,261.8,Agriculture,Indiana,211.75,Quote269
won,5/22/17,Variable Long,46,large,round,213.5,red,261.8,Agriculture,Indiana,211.75,Quote270
lost,5/10/17,Variable Medium,16,large,round,212.1,red,285.11,Construction,New York,217.7,Quote271
lost,5/10/17,Variable Medium,16,large,round,212.1,red,285.11,Agriculture,New York,217.7,Quote272
lost,5/10/17,Variable Medium,6,large,round,212.1,red,285.11,Construction,New York,217.7,Quote273
lost,5/10/17,Variable Medium,8,large,round,212.1,red,286.16,Construction,New York,217.7,Quote274
won,5/1/17,Variable Medium,240,medium,round,218.05,red,265.3,Agriculture,Ohio,219.45,Quote275
won,1/25/17,Variable Long,144,large,round,220.85,red,274.96,Construction,Ohio,219.1,Quote276
lost,11/10/16,Variable Medium,60,large,round,168,red,238,Agriculture,Indiana,177.8,Quote277
lost,11/14/16,Fixed Long,90,medium,round,175,red,257.6,Agriculture,Indiana,177.8,Quote278
lost,11/14/16,Fixed Long,828,medium,round,175,red,247.1,Agriculture,Indiana,177.8,Quote279
